client_order_id,symbol,side,qty,ref_price,fill_price,slippage_bps,slippage_$,filled_at
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,266.0,74.925,75.23,40.71,81.13,2026-06-23T21:29:20.975774Z
mv4-2026-06-23-sell-SEDG,SEDG,sell,168.0,52.33,52.58,-47.77,-42.0,2026-06-23T21:29:20.484881Z
mv4-2026-06-23-sell-DDOG,DDOG,sell,44.0,221.82,218.01,171.76,167.64,2026-06-23T21:29:20.41097Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,266.0,74.925,75.23,40.71,81.13,2026-06-23T21:29:20.975774Z
mv4-2026-06-23-sell-SEDG,SEDG,sell,168.0,52.33,52.58,-47.77,-42.0,2026-06-23T21:29:20.484881Z
mv4-2026-06-23-sell-DDOG,DDOG,sell,44.0,221.82,218.01,171.76,167.64,2026-06-23T21:29:20.41097Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,266.0,74.925,75.23,40.71,81.13,2026-06-23T21:29:20.975774Z
mv4-2026-06-23-sell-SEDG,SEDG,sell,168.0,52.33,52.58,-47.77,-42.0,2026-06-23T21:29:20.484881Z
mv4-2026-06-23-sell-DDOG,DDOG,sell,44.0,221.82,218.01,171.76,167.64,2026-06-23T21:29:20.41097Z
mv4-2026-06-24-buy-DASH,DASH,buy,45.0,178.69,177.56,-63.24,-50.85,2026-06-24T20:43:11.997321693Z
mv4-2026-06-24-buy-AXON,AXON,buy,17.0,459.93,455.16,-103.71,-81.09,2026-06-24T20:43:12.016048042Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,266.0,74.925,75.23,40.71,81.13,2026-06-23T21:29:20.975774Z
mv4-2026-06-23-sell-SEDG,SEDG,sell,168.0,52.33,52.58,-47.77,-42.0,2026-06-23T21:29:20.484881Z
mv4-2026-06-23-sell-DDOG,DDOG,sell,44.0,221.82,218.01,171.76,167.64,2026-06-23T21:29:20.41097Z
mv4-2026-06-24-buy-DASH,DASH,buy,45.0,178.69,177.56,-63.24,-50.85,2026-06-24T20:43:11.997322Z
mv4-2026-06-24-buy-AXON,AXON,buy,17.0,459.93,455.16,-103.71,-81.09,2026-06-24T20:43:12.016048Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,266.0,74.925,75.23,40.71,81.13,2026-06-23T21:29:20.975774Z
mv4-2026-06-23-sell-SEDG,SEDG,sell,168.0,52.33,52.58,-47.77,-42.0,2026-06-23T21:29:20.484881Z
mv4-2026-06-23-sell-DDOG,DDOG,sell,44.0,221.82,218.01,171.76,167.64,2026-06-23T21:29:20.41097Z
mv4-2026-06-24-buy-DASH,DASH,buy,45.0,178.69,177.56,-63.24,-50.85,2026-06-24T20:43:11.997322Z
mv4-2026-06-24-buy-AXON,AXON,buy,17.0,459.93,455.16,-103.71,-81.09,2026-06-24T20:43:12.016048Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,266.0,74.925,75.23,40.71,81.13,2026-06-23T21:29:20.975774Z
mv4-2026-06-23-sell-SEDG,SEDG,sell,168.0,52.33,52.58,-47.77,-42.0,2026-06-23T21:29:20.484881Z
mv4-2026-06-23-sell-DDOG,DDOG,sell,44.0,221.82,218.01,171.76,167.64,2026-06-23T21:29:20.41097Z
mv4-2026-06-24-buy-DASH,DASH,buy,45.0,178.69,177.56,-63.24,-50.85,2026-06-24T20:43:11.997322Z
mv4-2026-06-24-buy-AXON,AXON,buy,17.0,459.93,455.16,-103.71,-81.09,2026-06-24T20:43:12.016048Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,266.0,74.925,75.23,40.71,81.13,2026-06-23T21:29:20.975774Z
mv4-2026-06-23-sell-SEDG,SEDG,sell,168.0,52.33,52.58,-47.77,-42.0,2026-06-23T21:29:20.484881Z
mv4-2026-06-23-sell-DDOG,DDOG,sell,44.0,221.82,218.01,171.76,167.64,2026-06-23T21:29:20.41097Z
mv4-2026-06-24-buy-DASH,DASH,buy,45.0,178.69,177.56,-63.24,-50.85,2026-06-24T20:43:11.997322Z
mv4-2026-06-24-buy-AXON,AXON,buy,17.0,459.93,455.16,-103.71,-81.09,2026-06-24T20:43:12.016048Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,266.0,74.925,75.23,40.71,81.13,2026-06-23T21:29:20.975774Z
mv4-2026-06-23-sell-SEDG,SEDG,sell,168.0,52.33,52.58,-47.77,-42.0,2026-06-23T21:29:20.484881Z
mv4-2026-06-23-sell-DDOG,DDOG,sell,44.0,221.82,218.01,171.76,167.64,2026-06-23T21:29:20.41097Z
mv4-2026-06-24-buy-DASH,DASH,buy,45.0,178.69,177.56,-63.24,-50.85,2026-06-24T20:43:11.997322Z
mv4-2026-06-24-buy-AXON,AXON,buy,17.0,459.93,455.16,-103.71,-81.09,2026-06-24T20:43:12.016048Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,266.0,74.925,75.23,40.71,81.13,2026-06-23T21:29:20.975774Z
mv4-2026-06-23-sell-SEDG,SEDG,sell,168.0,52.33,52.58,-47.77,-42.0,2026-06-23T21:29:20.484881Z
mv4-2026-06-23-sell-DDOG,DDOG,sell,44.0,221.82,218.01,171.76,167.64,2026-06-23T21:29:20.41097Z
mv4-2026-06-24-buy-DASH,DASH,buy,45.0,178.69,177.56,-63.24,-50.85,2026-06-24T20:43:11.997322Z
mv4-2026-06-24-buy-AXON,AXON,buy,17.0,459.93,455.16,-103.71,-81.09,2026-06-24T20:43:12.016048Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,266.0,74.925,75.23,40.71,81.13,2026-06-23T21:29:20.975774Z
mv4-2026-06-23-sell-SEDG,SEDG,sell,168.0,52.33,52.58,-47.77,-42.0,2026-06-23T21:29:20.484881Z
mv4-2026-06-23-sell-DDOG,DDOG,sell,44.0,221.82,218.01,171.76,167.64,2026-06-23T21:29:20.41097Z
mv4-2026-06-24-buy-DASH,DASH,buy,45.0,178.69,177.56,-63.24,-50.85,2026-06-24T20:43:11.997322Z
mv4-2026-06-24-buy-AXON,AXON,buy,17.0,459.93,455.16,-103.71,-81.09,2026-06-24T20:43:12.016048Z
mv4-2026-06-23-buy-TQQQ,TQQQ,buy,266.0,74.925,75.23,40.71,81.13,2026-06-23T21:29:20.975774Z
mv4-2026-06-23-sell-SEDG,SEDG,sell,168.0,52.33,52.58,-47.77,-42.0,2026-06-23T21:29:20.484881Z
mv4-2026-06-23-sell-DDOG,DDOG,sell,44.0,221.82,218.01,171.76,167.64,2026-06-23T21:29:20.41097Z
