date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return
2026-01-02,100000.0,0.0,100000.0,0.0,0.0,,0.0,0.0,0.0,0.0
2026-01-05,83535.63,16447.93,99983.56,0.0,-16.45,-0.000164,-0.000164,0.00666,0.007943,0.016622
2026-01-06,67203.58,33710.58,100914.16,0.0,914.16,0.009308,0.009142,0.012647,0.016799,0.032008
2026-01-07,50234.7,50086.68,100321.38,0.0,321.37,-0.005874,0.003214,0.009383,0.017778,0.028867
2026-01-08,33764.41,65717.66,99482.07,0.0,-517.93,-0.008366,-0.005179,0.00928,0.011988,0.013804
2026-01-09,16433.34,86295.96,102729.3,0.0,2729.29,0.032641,0.027293,0.015955,0.022067,0.020781
2026-01-12,7536.64,94684.26,102220.9,0.0,2220.89,-0.004949,0.022209,0.017551,0.022916,0.023544
2026-01-13,7536.64,94696.4,102233.04,0.0,2233.03,0.000119,0.02233,0.015516,0.021399,0.019422
2026-01-14,7536.64,94517.63,102054.27,0.0,2054.26,-0.001749,0.020543,0.010524,0.010487,0.005968
2026-01-15,7536.64,96972.21,104508.85,0.0,4508.84,0.024052,0.045089,0.013276,0.014125,0.004189
2026-01-16,7536.64,98284.84,105821.48,0.0,5821.47,0.01256,0.058215,0.012427,0.013276,0.002127
2026-01-20,7536.64,96851.78,104388.42,0.0,4388.41,-0.013542,0.043884,-0.008182,-0.008253,-0.020284
2026-01-21,7536.64,100671.29,108207.93,0.0,8207.92,0.036589,0.082079,0.003264,0.005154,-0.008796
2026-01-22,7536.64,100309.77,107846.41,0.0,7846.4,-0.003341,0.078464,0.008504,0.012461,0.004755
2026-01-23,7536.64,98291.4,105828.04,0.0,5828.03,-0.018715,0.05828,0.00887,0.015658,0.00167
2026-01-26,7536.64,97784.25,105320.89,0.0,5320.88,-0.004792,0.053209,0.013994,0.020127,0.006195
2026-01-27,7536.64,100774.03,108310.67,0.0,8310.66,0.028387,0.083107,0.018034,0.029374,0.010799
2026-01-28,7536.64,103964.6,111501.24,0.0,11501.23,0.029458,0.115012,0.017931,0.032783,0.01353
2026-01-29,7536.64,103991.1,111527.74,0.0,11527.73,0.000238,0.115277,0.015911,0.026602,-0.006894
2026-01-30,7536.64,98597.9,106134.54,0.0,6134.53,-0.048357,0.061345,0.012881,0.014271,-0.033236
2026-02-02,7536.64,100811.43,108348.07,0.0,8348.06,0.020856,0.083481,0.017916,0.021236,-0.029341
2026-02-03,14236.17,91122.63,105358.8,-1540.54,6899.33,-0.02759,0.053588,0.00931,0.005545,-0.061926
2026-02-04,5577.59,97009.29,102586.88,-1540.54,4127.42,-0.026309,0.025869,0.004421,-0.01202,-0.076392
2026-02-05,5577.59,97921.25,103498.84,-1540.54,5039.38,0.00889,0.034988,-0.008124,-0.026243,-0.100945
2026-02-06,5577.59,101466.62,107044.21,-1540.54,8584.75,0.034255,0.070442,0.010905,-0.00566,-0.067825
2026-02-09,5577.59,101285.8,106863.39,-1540.54,8403.93,-0.001689,0.068634,0.015779,0.001957,-0.055489
2026-02-10,5577.59,101001.98,106579.57,-1540.54,8120.1,-0.002656,0.065796,0.013101,-0.002691,-0.050287
2026-02-11,5577.59,105148.9,110726.49,-1540.54,12267.02,0.038909,0.107265,0.012867,-1.6e-05,-0.054164
2026-02-12,5577.59,103295.15,108872.74,-1540.54,10413.27,-0.016742,0.088727,-0.002781,-0.020355,-0.080725
2026-02-13,5577.59,104744.08,110321.67,-1540.54,11862.2,0.013308,0.103217,-0.002079,-0.018267,-0.06852
2026-02-17,5577.59,104513.31,110090.9,-1540.54,11631.44,-0.002092,0.100909,-0.000468,-0.019279,-0.07288
2026-02-18,5577.59,105709.45,111287.04,-1540.54,12827.57,0.010865,0.11287,0.004567,-0.011955,-0.065479
2026-02-19,5577.59,104376.38,109953.97,-1540.54,11494.5,-0.011979,0.09954,0.001917,-0.015739,-0.066572
2026-02-20,5577.59,106074.56,111652.15,-1540.54,13192.69,0.015444,0.116521,0.009163,-0.00703,-0.066491
2026-02-23,14294.87,96911.4,111206.27,-1053.48,12259.74,-0.003993,0.112063,-0.001142,-0.019099,-0.094147
2026-02-24,13649.73,98046.13,111695.86,-793.35,12489.2,0.004403,0.116959,0.006118,-0.008563,-0.078687
2026-02-25,4301.38,108790.35,113091.73,-793.35,13885.06,0.012497,0.130917,0.014608,0.005806,-0.05904
2026-02-26,4301.38,105834.38,110135.76,-793.35,10929.09,-0.026138,0.101358,0.008973,-0.006328,-0.058667
2026-02-27,12081.59,96490.47,108572.06,-2361.49,10933.54,-0.014198,0.085721,0.004128,-0.009509,-0.067217
2026-03-02,2581.37,105644.31,108225.68,-2361.49,10587.16,-0.00319,0.082257,0.004699,-0.008204,-0.06327
2026-03-03,2581.37,100550.54,103131.91,-2361.49,5493.38,-0.047066,0.031319,-0.004157,-0.018822,-0.076469
2026-03-04,2581.37,102147.57,104728.94,-2361.49,7090.42,0.015485,0.047289,0.002869,-0.003865,-0.058528
2026-03-05,2581.37,99958.14,102539.51,-2361.49,4900.98,-0.020906,0.025395,-0.002723,-0.006867,-0.055269
2026-03-06,2581.37,95635.96,98217.33,-2361.49,578.81,-0.042151,-0.017827,-0.015794,-0.021807,-0.068229
2026-03-09,2581.37,98931.4,101512.77,-2361.49,3874.24,0.033553,0.015128,-0.007172,-0.008742,-0.058795
2026-03-10,2581.37,99542.99,102124.36,-2361.49,4485.83,0.006025,0.021244,-0.008768,-0.008726,-0.064965
2026-03-11,2581.37,101218.66,103800.03,-2361.49,6161.5,0.016408,0.038,-0.010012,-0.008856,-0.063564
2026-03-12,2581.37,98827.55,101408.92,-2361.49,3770.39,-0.023036,0.014089,-0.025045,-0.025868,-0.084517
2026-03-13,2581.37,99795.33,102376.7,-2361.49,4738.18,0.009543,0.023767,-0.030563,-0.031642,-0.086722
2026-03-16,2581.37,101640.19,104221.56,-2361.49,6583.03,0.01802,0.042216,-0.020698,-0.020779,-0.073183
2026-03-17,2581.37,103282.96,105864.33,-2361.49,8225.81,0.015762,0.058643,-0.018121,-0.016,-0.065914
2026-03-18,2581.37,102284.9,104866.27,-2361.49,7227.75,-0.009428,0.048663,-0.031822,-0.029717,-0.073872
2026-03-19,9880.25,95857.94,105738.19,-3721.19,9459.36,0.008315,0.057382,-0.034208,-0.032783,-0.073827
2026-03-20,9880.25,94659.56,104539.81,-3721.19,8260.98,-0.011333,0.045398,-0.048054,-0.050659,-0.09328
2026-03-23,9880.25,95680.95,105561.2,-3721.19,9282.38,0.00977,0.055612,-0.038058,-0.039762,-0.079568
2026-03-24,9880.25,98233.95,108114.2,-3721.19,11835.37,0.024185,0.081142,-0.041287,-0.046326,-0.092594
2026-03-25,9880.25,98116.23,107996.48,-3721.19,11717.66,-0.001089,0.079965,-0.035944,-0.040055,-0.082183
2026-03-26,9880.25,93452.22,103332.47,-3721.19,7053.65,-0.043187,0.033325,-0.053161,-0.062967,-0.103756
2026-03-27,9880.25,92663.22,102543.47,-3721.19,6264.64,-0.007636,0.025435,-0.069307,-0.081274,-0.126818
2026-03-30,9880.25,89133.44,99013.69,-3721.19,2734.87,-0.034422,-0.009863,-0.072418,-0.088296,-0.137452
2026-03-31,9880.25,93240.23,103120.48,-3721.19,6841.65,0.041477,0.031205,-0.045456,-0.057431,-0.100037
2026-04-01,9880.25,95287.67,105167.92,-3721.19,8889.1,0.019855,0.051679,-0.038264,-0.045788,-0.090011
2026-04-02,9880.25,94978.39,104858.64,-3721.19,8579.82,-0.002941,0.048586,-0.037398,-0.044693,-0.088343
2026-04-06,9880.25,95988.88,105869.13,-3721.19,9590.31,0.009637,0.058691,-0.032848,-0.038945,-0.085063
2026-04-07,9880.25,96673.34,106553.59,-3721.19,10274.77,0.006465,0.065536,-0.032422,-0.038798,-0.085502
2026-04-08,9880.25,102370.41,112250.66,-3721.19,15971.83,0.053467,0.122507,-0.007778,-0.010219,-0.062611
2026-04-09,9880.25,103825.78,113706.03,-3721.19,17427.2,0.012965,0.13706,-0.002054,-0.003524,-0.070158
2026-04-10,20314.14,93651.84,113965.98,-2612.09,16578.06,0.002286,0.13966,-0.002714,-0.002087,-0.076958
2026-04-13,10456.79,105073.41,115530.2,-2612.09,18142.28,0.013725,0.155302,0.007032,0.008234,-0.05076
2026-04-14,10456.79,106821.91,117278.7,-2612.09,19890.78,0.015135,0.172787,0.019302,0.026541,-0.037746
2026-04-15,10456.79,105221.41,115678.2,-2612.09,18290.28,-0.013647,0.156782,0.027345,0.040912,-0.021287
2026-04-16,10456.79,106209.85,116666.64,-2612.09,19278.72,0.008545,0.166666,0.02987,0.045925,-0.010684
2026-04-17,10456.79,109089.22,119546.01,-2612.09,22158.09,0.02468,0.19546,0.042317,0.05961,0.001755
2026-04-20,10456.79,110356.04,120812.83,-2612.09,23424.91,0.010597,0.208128,0.040232,0.056246,0.014569
2026-04-21,10456.79,110896.43,121353.22,-2612.09,23965.3,0.004473,0.213532,0.033422,0.052229,0.012259
2026-04-22,10456.79,114093.41,124550.2,-2612.09,27162.29,0.026344,0.245502,0.043887,0.069833,0.030684
2026-04-23,10456.79,115700.84,126157.63,-2612.09,28769.71,0.012906,0.261576,0.039836,0.063807,0.020068
2026-04-24,19175.2,109773.56,128948.76,-1328.21,30276.95,0.022124,0.289488,0.047894,0.084155,0.044375
2026-04-27,9234.79,118849.89,128084.68,-1328.21,29412.88,-0.006701,0.280847,0.049699,0.084726,0.040318
2026-04-28,20026.88,102864.84,122891.72,566.36,22325.35,-0.040543,0.228917,0.044592,0.073818,0.019819
2026-04-29,8360.98,116325.13,124686.11,566.36,24119.73,0.014601,0.246861,0.04443,0.080383,0.028114
2026-04-30,8360.98,118114.83,126475.81,566.36,25909.44,0.014354,0.264758,0.054822,0.090459,0.039849
2026-05-01,8360.98,119408.39,127769.37,566.36,27203.0,0.010228,0.277694,0.057743,0.100926,0.055656
2026-05-04,8360.98,119387.15,127748.13,566.36,27181.76,-0.000166,0.277481,0.053868,0.098852,0.057912
2026-05-05,8360.98,124299.55,132660.53,566.36,32094.16,0.038454,0.326605,0.062322,0.113109,0.07407
2026-05-06,8360.98,130971.84,139332.82,566.36,38766.44,0.050296,0.393328,0.077088,0.136233,0.094662
2026-05-07,19620.12,114313.4,133933.52,2879.6,31053.91,-0.038751,0.339335,0.073785,0.134878,0.094306
2026-05-08,7384.0,134887.86,142271.86,2879.6,39392.25,0.062257,0.422719,0.082651,0.16148,0.111671
2026-05-11,17866.97,127216.05,145083.02,5018.8,40064.21,0.019759,0.45083,0.085116,0.164844,0.11731
2026-05-12,5858.58,133787.19,139645.77,5018.8,34626.96,-0.037477,0.396458,0.083473,0.154964,0.101056
2026-05-13,5858.58,139231.89,145090.47,5018.8,40071.66,0.038989,0.450905,0.089534,0.167163,0.112671
2026-05-14,5858.58,138355.89,144214.47,5018.8,39195.66,-0.006038,0.442145,0.098136,0.175459,0.126244
2026-05-15,51920.6,87637.18,139557.78,26025.68,13532.09,-0.03229,0.395578,0.084926,0.157724,0.116226
2026-05-18,41378.22,97005.67,138383.89,29095.64,9288.24,-0.008411,0.383839,0.084163,0.152743,0.111868
2026-05-19,17892.29,120980.99,138873.28,29095.64,9777.63,0.003536,0.388733,0.076941,0.14564,0.10416
2026-05-20,5920.33,138180.71,144101.04,29095.64,15005.38,0.037644,0.44101,0.087979,0.164616,0.130344
2026-05-21,5920.33,143179.33,149099.66,29095.64,20004.01,0.034688,0.490997,0.090136,0.166837,0.144849
2026-05-22,5920.33,150041.72,155962.05,29095.64,26866.4,0.046026,0.55962,0.094422,0.171785,0.167084
2026-05-26,5920.33,155165.16,161085.49,29095.64,31989.83,0.032851,0.610855,0.101688,0.19259,0.195163
2026-05-27,14381.33,139083.73,153465.06,25803.15,27661.9,-0.047307,0.534651,0.101497,0.191235,0.185949
2026-05-28,14381.33,143506.58,157887.91,25803.15,32084.75,0.02882,0.578879,0.107573,0.201278,0.209882
2026-05-29,14381.33,155437.35,169818.68,25803.15,44015.52,0.075565,0.698187,0.110333,0.205703,0.247581
2026-06-01,27815.48,150954.27,178769.75,27571.4,51198.34,0.05271,0.787697,0.113356,0.212938,0.291177
2026-06-02,27123.79,155216.22,182340.01,28759.25,53580.74,0.019971,0.8234,0.114868,0.218523,0.301689
2026-06-03,12899.47,165287.14,178186.61,28759.25,49427.34,-0.022778,0.781866,0.107045,0.215339,0.282193
2026-06-04,12899.47,164755.26,177654.73,28759.25,48895.46,-0.002985,0.776547,0.111228,0.209459,0.281147
2026-06-05,12899.47,151680.91,164580.38,28759.25,35821.11,-0.073594,0.645804,0.082548,0.151404,0.197925
2026-06-08,12899.47,153390.36,166289.83,28759.25,37530.56,0.010387,0.662898,0.084999,0.169384,0.218643
2026-06-09,12899.47,147475.51,160374.98,28759.25,31615.71,-0.03557,0.60375,0.081814,0.155928,0.192023
2026-06-10,12899.47,143919.03,156818.5,28759.25,28059.23,-0.022176,0.568185,0.064759,0.132836,0.159866
2026-06-11,12899.47,152618.7,165518.17,28759.25,36758.9,0.055476,0.655182,0.082856,0.171099,0.206177
2026-06-12,12899.47,154169.44,167068.91,28759.25,38309.64,0.009369,0.670689,0.088713,0.177991,0.215505
2026-06-15,24444.39,148535.13,172979.52,29689.41,43290.09,0.035378,0.729795,0.107911,0.214996,0.255577
2026-06-16,10600.94,159871.08,170472.02,29689.41,40782.59,-0.014496,0.70472,0.104014,0.197979,0.235293
